record_id,match_id,bout_cluster_id,clip_name,label,human_confidence,difficulty,event_label,contact,duplicate_key,canonical_record,bookkeeping_flag,analysis_inclusion,provenance_role
A0071,624-515,624-515,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0072,624-515,624-515,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0073,624-515,624-515,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0074,624-515,624-515,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0075,624-516,624-516,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0076,624-516,624-516,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0077,624-516,624-516,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0078,624-516,624-516,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0079,624-516,624-516,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0080,624-516,624-516,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0081,624-517,624-517,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0082,624-517,624-517,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0083,624-517,624-517,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0084,624-517,624-517,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0085,624-517,624-517,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0086,624-517,624-517,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0087,624-517,624-517,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0088,624-518,624-518,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0089,624-518,624-518,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0090,624-518,624-518,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0091,624-518,624-518,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0092,624-518,624-518,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0093,624-518,624-518,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0094,624-518,624-518,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0095,624-518,624-518,clip_008.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0096,624-519,624-519,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0097,624-519,624-519,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0098,624-519,624-519,clip_003.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0099,624-519,624-519,clip_004.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0100,624-519,624-519,clip_005.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0101,624-519,624-519,clip_006.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0102,624-519,624-519,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0103,624-519,624-519,clip_008.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0104,624-520,624-520,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0105,624-520,624-520,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0106,624-520,624-520,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0107,624-520,624-520,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0108,624-520,624-520,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0109,624-520,624-520,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0110,624-520,624-520,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0111,624-520,624-520,clip_008.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0112,624-520,624-520,clip_009.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0113,624-520,624-520,clip_010.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0114,624-521,624-521,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0115,624-521,624-521,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0116,624-521,624-521,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0117,624-521,624-521,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0118,624-521,624-521,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0119,624-521,624-521,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0120,624-521,624-521,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0121,624-521,624-521,clip_008.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0122,624-521,624-521,clip_009.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0123,624-522,624-522,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0124,624-522,624-522,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0125,624-522,624-522,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0126,624-522,624-522,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0127,624-522,624-522,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0128,624-522,624-522,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0129,624-523,624-523,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0130,624-523,624-523,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0131,624-523,624-523,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0132,624-523,624-523,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0133,624-524,624-524,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0134,624-524,624-524,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0135,624-524,624-524,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0136,624-524,624-524,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0137,624-524,624-524,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0138,624-524,624-524,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0139,624-524,624-524,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0140,624-524,624-524,clip_008.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0141,624-524,624-524,clip_009.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0142,624-524,624-524,clip_010.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0143,624-524,624-524,clip_011.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0144,624-525,624-525,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0145,624-525,624-525,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0146,624-525,624-525,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0147,624-525,624-525,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0148,624-525,624-525,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0149,624-525,624-525,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0150,624-525,624-525,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0151,624-526,624-526,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0152,624-526,624-526,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0153,624-526,624-526,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0154,624-526,624-526,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0155,624-526,624-526,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0156,624-526,624-526,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0157,624-526,624-526,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0158,624-526,624-526,clip_008.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0159,624-526,624-526,clip_009.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0160,624-526,624-526,clip_010.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0161,624-526,624-526,clip_011.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0162,624-526,624-526,clip_012.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0163,624-526,624-526,clip_013.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0164,624-527,624-527,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0165,624-527,624-527,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0166,624-527,624-527,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0167,624-527,624-527,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0168,624-527,624-527,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0169,624-527,624-527,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0170,624-527,624-527,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0171,624-527,624-527,clip_008.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0172,624-527,624-527,clip_009.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0173,624-528,624-528,clip_001.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0174,624-528,624-528,clip_002.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0175,624-528,624-528,clip_003.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0176,624-528,624-528,clip_004.mov,False Positive,Medium,Hard,uncertain,uncertain,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0177,624-528,624-528,clip_005.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0178,624-528,624-528,clip_006.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0179,624-528,624-528,clip_007.mov,True Positive,High,Hard,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0180,624-528,624-528,clip_008.mov,True Positive,Medium,Medium,non_turning_head_kick,light_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
A0181,624-528,624-528,clip_009.mov,True Positive,High,Easy,turning_head_kick,clear_contact,false,true,,include_candidate_audit,human_candidate_validation_and_context_annotation
